Year,Name,Performance,Seed,Snake,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,3FG,3PG,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,FT,FTA,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,AST,APG,TO,TOPG,AST/TO Ratio,Opp TO,TO Diff,BLKS,BKPG,ST,STPG,Fouls,PFPG,DQ
2015,Kentucky,6,1,1,94.5,22.4,1604,1625,785,800,100,2547,74.9,1835,54,20.9,883,1884,46.9,651,1836,35.5,185,5.4,529,34.97164461,570,156,27.4,596,825,72.2,1298,38.2,1045,30.7,7.4,500,14.7,361,10.6,1.39,478,3.4,234,6.9,223,6.6,579,17,11
2015,Lafayette,2,16,63,47.7,-0.7,0,0,0,0,62.5,2374,74.2,2316,72.4,1.8,851,1744,48.8,850,1864,45.6,257,8,622,41.31832797,698,263,37.7,415,542,76.6,992,31,1057,33,-2,499,15.6,351,11,1.42,354,0.1,82,2.6,179,5.6,504,15.8,4
2015,Louisville,5,4,15,82.9,12.5,1114,614,507,292,75,2215,69.2,1905,59.5,9.7,783,1827,42.9,676,1740,38.9,181,5.7,595,30.42016807,547,160,29.3,468,709,66,1221,38.2,1125,35.2,3,374,11.7,378,11.8,0.99,463,2.7,176,5.5,266,8.3,567,17.7,11
2015,LSU,2,9,35,73.5,8.1,0,0,0,0,68.8,2358,73.7,2167,67.7,6,868,1902,45.6,796,1986,40.1,184,5.8,543,33.88581952,575,180,31.3,438,636,68.9,1253,39.2,1180,36.9,2.3,502,15.7,468,14.6,1.07,439,-0.9,198,6.2,235,7.3,506,15.8,13
2015,Manhattan,1,16,67,49.8,0,0,0,0,0,57.6,2300,69.7,2234,67.7,2,756,1748,43.2,736,1683,43.7,215,6.5,640,33.59375,457,148,32.4,573,829,69.1,1065,32.3,1128,34.2,-1.9,460,13.9,481,14.6,0.96,545,1.9,92,2.8,264,8,758,23,25
2015,Maryland,3,4,14,76.9,9.5,0,935,0,470,81.8,2293,69.5,2087,63.2,6.2,741,1693,43.8,756,1910,39.6,241,7.3,647,37.2488408,713,223,31.3,570,753,75.7,1157,35.1,1107,33.5,1.5,360,10.9,397,12,0.91,372,-0.8,139,4.2,160,4.8,546,16.5,5
2015,Michigan St.,6,7,25,81.4,11.7,521,159,241,93,67.6,2444,71.9,2156,63.4,8.5,901,1912,47.1,728,1821,40,256,7.5,663,38.61236802,643,208,32.3,386,610,63.3,1281,37.7,1050,30.9,6.8,582,17.1,395,11.6,1.47,376,-0.6,155,4.6,181,5.3,631,18.6,14
2015,Mississippi St.,2,11,43,74.1,8.3,0,0,0,0,40.6,1977,61.8,2032,63.5,-1.7,669,1557,43,713,1713,41.6,133,4.2,434,30.64516129,641,210,32.8,506,727,69.6,1099,34.3,1017,31.8,2.6,278,8.7,474,14.8,0.59,388,-2.7,90,2.8,205,6.4,606,18.9,10
2015,New Mexico St.,2,15,59,61.4,3.7,0,0,0,0,69.7,2260,68.5,1958,59.3,9.2,788,1692,46.6,727,1725,42.1,160,4.8,435,36.7816092,409,120,29.3,524,755,69.4,1170,35.5,947,28.7,6.8,398,12.1,459,13.9,0.87,434,-0.8,121,3.7,209,6.3,526,15.9,12
2015,North Carolina,4,4,13,83.7,12.9,1274,703,598,347,68.6,2727,77.9,2394,68.4,9.5,1019,2144,47.5,818,2056,39.8,167,4.8,484,34.50413223,763,227,29.8,522,746,70,1436,41,1150,32.9,8.2,621,17.7,444,12.7,1.4,435,-0.3,154,4.4,233,6.7,675,19.3,11
2015,North Carolina St.,4,8,31,75,8.7,0,0,0,0,60.6,2323,70.4,2159,65.4,5,820,1875,43.7,757,1877,40.3,219,6.6,607,36.07907743,588,195,33.2,464,679,68.3,1249,37.8,1140,34.5,3.3,383,11.6,347,10.5,1.1,331,-0.5,175,5.3,131,4,582,17.6,12
2015,North Dakota St.,2,15,62,51,0.3,0,0,0,0,71.9,2065,64.5,1969,61.5,3,714,1659,43,697,1668,41.8,220,6.9,579,37.99654577,556,206,37.1,417,602,69.3,1074,33.6,1008,31.5,2.1,310,9.7,312,9.8,0.99,338,0.8,120,3.8,153,4.8,482,15.1,13
2015,North Florida,1,16,65,55,1.6,0,0,0,0,67.6,2574,75.7,2304,67.8,7.9,872,1858,46.9,851,1971,43.2,308,9.1,788,39.08629442,549,172,31.3,522,721,72.4,1178,34.6,1156,34,0.6,491,14.4,417,12.3,1.18,420,0.1,142,4.2,213,6.3,545,16,13
2015,Northeastern,2,14,56,58.3,2.6,0,0,0,0,67.6,2332,68.6,2210,65,3.6,811,1670,48.6,848,1905,44.5,200,5.9,515,38.83495146,555,191,34.4,510,703,72.5,1127,33.1,963,28.3,4.8,485,14.3,467,13.7,1.04,342,-3.7,129,3.8,181,5.3,484,14.2,9
2015,Notre Dame,5,3,12,84.6,13.5,0,1178,0,587,85.3,2680,78.8,2232,65.6,13.2,945,1853,51,847,1984,42.7,281,8.3,716,39.24581006,647,213,32.9,509,688,74,1114,32.8,1109,32.6,0.1,514,15.1,319,9.4,1.61,384,1.9,121,3.6,234,6.9,483,14.2,7
2015,Ohio St.,3,10,39,81.4,11.7,340,0,223,0,69.7,2502,75.8,2057,62.3,13.5,916,1886,48.6,743,1833,40.5,225,6.8,605,37.19008264,694,221,31.8,445,656,67.8,1183,35.8,1088,33,2.9,509,15.4,373,11.3,1.36,484,3.4,168,5.1,257,7.8,529,16,5
