Year,Name,Performance,Seed,Snake,RPI,SOS,LRPI,OFFQ,DEFQ,ASM,ESPN BPI,ESPN PVA,AP PRE,AP POST,COACH PRE,COACH POST,Win Pct,PPG,OPP PPG,SCR MAR,FG%,OPP FG%,3PG,3FG%,Opp 3FG%,FT%,RPG,OPP RPG,REB MAR,APG,TOPG,AST/TO Ratio,TO Diff,BKPG,STPG,PFPG,DQ
2012,UConn,2,9,34,0.5921,2,32,3.6,5.4,8.9,76,9.3,1433,0,655,0,60.6,68.8,64.1,4.7,45.4,38.3,5.4,33.1,34.3,66.1,37.8,34.7,3.2,13.6,12.5,1.08,-1.6,6.9,5.8,14.4,5
2012,UNC Asheville,2,16,64,0.5329,221,135,8.2,-3.2,5,62.1,4,0,0,0,0,72.7,81.2,71.3,9.9,48.4,44.4,6.5,35.3,35.3,76.2,34.7,33.3,1.4,16.6,13.5,1.24,2.6,2.7,8.5,17.9,9
2012,UNLV,2,6,21,0.6153,39,22,10.8,1.4,12.2,75.9,9.2,7,201,16,79,76.5,76.7,65.9,10.8,46.2,40.9,8.3,37,33.3,67.9,37.8,34.5,3.3,17.7,13.5,1.32,1.7,4.7,8.4,17.1,12
2012,Vanderbilt,3,5,18,0.6117,5,13,7.4,4.1,11.4,80.2,11.3,1120,334,567,94,70.6,72.9,65,7.9,45.9,41.8,8.6,38.9,30.7,69.8,34.5,33.4,1.2,12.9,13.2,0.98,-0.4,4,5.9,16,8
2012,VCU,3,12,49,0.5802,187,50,3.1,4.7,7.8,72.3,7.7,0,0,0,0,82.4,68.4,59.8,8.6,41,42.3,7.4,33.7,31.8,68.9,33.7,35.2,-1.5,12.2,11.4,1.07,6.5,3.7,10.7,18.1,6
2012,Vermont,2,16,66,0.5134,275,174,0.5,4.4,4.9,56.3,2,0,0,0,0,67.6,67.2,60.5,6.7,44.3,40.8,5.4,34.6,31.9,74.2,35.4,31.7,3.6,13.3,12.4,1.07,0.4,2.4,6.2,17.3,7
2012,Virginia,2,10,39,0.5756,94,25,-4.2,14.1,10,79.9,10.1,0,0,0,0,71,63.1,53.7,9.4,46,39.6,4.9,34.84680851,29.5,72.4,32.5,29.3,3.2,12.3,11.4,1.08,1.5,2.8,6.5,15.8,6
2012,West Virginia,2,10,38,0.5736,16,51,6.3,2.3,8.6,73.6,8.2,0,0,13,0,59.4,71.6,66.2,5.5,44.1,44.6,5.3,30.2,31.7,67.1,38.4,31.6,6.8,14.6,12.9,1.13,0.7,2.6,6.5,16.8,9
2012,Western Ky.,2,16,68,0.4865,134,198,-1,-1.4,-2.4,46.2,-1.2,0,0,0,0,45.5,65.1,68,-2.9,39.7,43.1,5.7,30.8,33.3,69.3,35.9,36.1,-0.2,11.1,15,0.74,-0.5,4.1,5.5,19.8,12
2012,Wichita St.,2,5,19,0.6161,62,20,9.9,5.5,15.4,83.3,12.9,0,517,0,231,84.4,77.7,62.4,15.3,48.5,39.2,7,37.3,30.9,75.1,38,31.3,6.7,14.8,12.2,1.21,0.7,3.9,6.3,16.9,5
